IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.131.218,2095,2095,false,HKG,Asia Pacific,Hong Kong,140,9.28
132.145.122.95,2087,2087,true,NRT,Asia Pacific,Tokyo,122,9.26
158.179.186.138,2083,2083,true,HKG,Asia Pacific,Hong Kong,143,9.25
141.147.169.131,2086,2086,false,NRT,Asia Pacific,Tokyo,128,9.25
138.3.222.204,2082,2082,false,HKG,Asia Pacific,Hong Kong,188,9.23
158.101.150.74,2052,2052,false,HKG,Asia Pacific,Hong Kong,145,9.23
158.101.148.221,8080,8080,false,HKG,Asia Pacific,Hong Kong,132,9.22
141.144.194.157,443,443,true,FRA,Europe,Frankfurt,187,9.22
158.101.148.221,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,9.21
132.226.6.5,2053,2053,true,HKG,Asia Pacific,Hong Kong,143,9.19
150.230.23.217,443,0,true,FRA,Europe,Frankfurt,189,9.18
158.178.152.211,443,443,true,CDG,Europe,Paris,184,9.17
138.2.168.241,443,443,true,FRA,Europe,Frankfurt,171,9.17
129.146.46.164,443,443,true,LAX,North America,Los Angeles,220,9.17
141.147.164.123,8080,8080,false,NRT,Asia Pacific,Tokyo,78,9.17
151.145.71.127,8080,8080,false,HKG,Asia Pacific,Hong Kong,140,9.15
141.148.245.145,443,443,true,FRA,Europe,Frankfurt,191,9.15
152.70.102.124,2096,2096,true,HKG,Asia Pacific,Hong Kong,179,9.13
151.145.74.199,8443,8443,true,HKG,Asia Pacific,Hong Kong,142,9.12
132.145.123.159,8880,8880,false,NRT,Asia Pacific,Tokyo,75,9.12
132.145.127.51,8880,8880,false,HKG,Asia Pacific,Hong Kong,192,9.11
158.101.155.158,2082,2082,false,HKG,Asia Pacific,Hong Kong,156,9.10
141.147.174.190,2082,2082,false,HKG,Asia Pacific,Hong Kong,143,9.07
